ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
0,Ocean,0.5,0.5,0.1,-1.0,0.1,OCEAN,biomesoplenty.common.biome.overridden.BiomeGenBOPOcean
1,Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,biomesoplenty.common.biome.overridden.BiomeGenBOPPlains
2,Desert,2.0,0.0,0.1,0.125,0.05,"HOT, DRY, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
3,Extreme Hills,0.2,0.3,0.1,1.0,0.5,"MOUNTAIN, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
4,Forest,0.7,0.8,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPForest
5,Taiga,0.25,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
6,Swampland,0.8,0.9,0.1,-0.2,0.1,"WET, SWAMP",biomesoplenty.common.biome.overridden.BiomeGenBOPSwamp
7,River,0.5,0.5,0.1,-0.5,0.0,RIVER,biomesoplenty.common.biome.overridden.BiomeGenBOPRiver
8,Hell,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, NETHER",biomesoplenty.common.biome.overridden.BiomeGenBOPHell
9,Sky,0.5,0.5,0.1,0.1,0.2,"COLD, DRY, END",chylex.hee.world.biome.BiomeGenHardcoreEnd
10,FrozenOcean,0.0,0.5,0.1,-1.0,0.1,"COLD, OCEAN, SNOWY",net.minecraft.world.biome.BiomeGenOcean
11,FrozenRiver,0.0,0.5,0.1,-0.5,0.0,"COLD, RIVER, SNOWY",net.minecraft.world.biome.BiomeGenRiver
12,Ice Plains,0.0,0.5,0.1,0.125,0.05,"COLD, SNOWY, WASTELAND",biomesoplenty.common.biome.overridden.BiomeGenBOPIcePlains
13,Ice Mountains,0.0,0.5,0.1,0.45,0.3,"COLD, MOUNTAIN, SNOWY",net.minecraft.world.biome.BiomeGenSnow
14,MushroomIsland,0.9,1.0,0.1,0.2,0.3,MUSHROOM,biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
15,MushroomIslandShore,0.9,1.0,0.1,0.0,0.025,"MUSHROOM, BEACH",biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
16,Beach,0.8,0.4,0.1,0.0,0.025,BEACH,net.minecraft.world.biome.BiomeGenBeach
17,DesertHills,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
18,ForestHills,0.7,0.8,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPForest
19,TaigaHills,0.25,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
20,Extreme Hills Edge,0.2,0.3,0.1,0.8,0.3,MOUNTAIN,biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
21,Jungle,0.95,0.9,0.1,0.1,0.2,"HOT, DENSE, WET, JUNGLE",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
22,JungleHills,0.95,0.9,0.1,0.45,0.3,"HOT, DENSE, WET, JUNGLE, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
23,JungleEdge,0.95,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
24,Deep Ocean,0.5,0.5,0.1,-1.8,0.1,OCEAN,net.minecraft.world.biome.BiomeGenOcean
25,Stone Beach,0.2,0.3,0.1,0.1,0.8,BEACH,net.minecraft.world.biome.BiomeGenStoneBeach
26,Cold Beach,0.05,0.3,0.1,0.0,0.025,"COLD, SNOWY, BEACH",net.minecraft.world.biome.BiomeGenBeach
27,Birch Forest,0.6,0.6,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
28,Birch Forest Hills,0.6,0.6,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
29,Roofed Forest,0.7,0.8,0.1,0.1,0.2,"DENSE, SPOOKY, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPRoofedForest
30,Cold Taiga,-0.5,0.4,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
31,Cold Taiga Hills,-0.5,0.4,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
32,Mega Taiga,0.3,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",net.minecraft.world.biome.BiomeGenTaiga
33,Mega Taiga Hills,0.3,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",net.minecraft.world.biome.BiomeGenTaiga
34,Extreme Hills+,0.2,0.3,0.1,1.0,0.5,"SPARSE, FOREST, MOUNTAIN",net.minecraft.world.biome.BiomeGenHills
35,Savanna,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
36,Savanna Plateau,1.0,0.0,0.1,1.5,0.025,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
37,Mesa,2.0,0.0,0.1,0.1,0.2,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
38,Mesa Plateau F,2.0,0.0,0.1,1.5,0.025,"SPARSE, MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
39,Mesa Plateau,2.0,0.0,0.1,1.5,0.025,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
42,Eerie,0.5,0.5,0.1,0.1,0.2,"SPOOKY, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEerie
43,Eldritch,0.5,0.5,0.1,0.1,0.2,"SPOOKY, END, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEldritch
44,Magical Forest,0.7,0.6,0.1,0.2,0.2,"MAGICAL, FOREST",thaumcraft.common.lib.world.biomes.BiomeGenMagicalForest
45,Tainted Land,0.5,0.5,0.1,0.1,0.2,"MAGICAL, WASTELAND",thaumcraft.common.lib.world.biomes.BiomeGenTaint
50,Boneyard,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER, WASTELAND",biomesoplenty.common.biome.nether.BiomeGenBoneyard
51,Corrupted Sands,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER, SANDY",biomesoplenty.common.biome.nether.BiomeGenCorruptedSands
52,Phantasmagoric Inferno,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenPhantasmagoricInferno
53,Polar Chasm,2.0,0.0,0.1,0.1,0.2,"COLD, NETHER, SNOWY",biomesoplenty.common.biome.nether.BiomeGenPolarChasm
54,Undergarden,2.0,0.0,0.1,0.1,0.2,"JUNGLE, SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenUndergarden
55,Visceral Heap,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenVisceralHeap
56,Spectral Garden,2.0,0.0,0.1,0.1,0.2,"SPOOKY, LUSH, END, FOREST",biomesoplenty.common.biome.end.BiomeGenSpectralGarden
60,Twilight Clearing,0.8,0.4,0.12,0.125,0.05,"SPARSE, PLAINS",twilightforest.biomes.TFBiomeClearing
61,Dark Forest,0.7,0.8,0.12,0.125,0.05,"DENSE, SPOOKY, FOREST",twilightforest.biomes.TFBiomeDarkForest
62,Dark Forest Center,0.7,0.8,0.12,0.125,0.05,"DENSE, SPOOKY, MAGICAL, FOREST",twilightforest.biomes.TFBiomeDarkForestCenter
63,Deep Mushroom Forest,0.8,1.0,0.12,0.125,0.05,"MUSHROOM, FOREST",twilightforest.biomes.TFBiomeDeepMushrooms
64,Enchanted Forest,0.5,0.5,0.12,0.1,0.2,"MAGICAL, FOREST",twilightforest.biomes.TFBiomeEnchantedForest
65,Fire Swamp,1.0,0.4,0.12,0.1,0.2,"HOT, SWAMP, WASTELAND",twilightforest.biomes.TFBiomeFireSwamp
66,Twilight Glacier,0.0,0.1,0.12,0.1,0.2,"COLD, SNOWY, WASTELAND",twilightforest.biomes.TFBiomeGlacier
67,Twilight Highlands,0.4,0.7,0.12,3.5,0.05,"CONIFEROUS, FOREST, MOUNTAIN",twilightforest.biomes.TFBiomeHighlands
68,Highlands Center,0.3,0.2,0.12,10.5,0.025,"DRY, DEAD, MESA, WASTELAND",twilightforest.biomes.TFBiomeHighlandsCenter
69,Twilight Lake,0.66,1.0,0.12,-1.8,0.1,OCEAN,twilightforest.biomes.TFBiomeTwilightLake
70,Firefly Forest,0.5,1.0,0.12,0.125,0.05,"LUSH, FOREST",twilightforest.biomes.TFBiomeFireflyForest
71,Mushroom Forest,0.8,0.8,0.12,0.1,0.2,"MUSHROOM, FOREST",twilightforest.biomes.TFBiomeMushrooms
72,Oak Savanna,0.9,0.0,0.12,0.2,0.2,"SPARSE, FOREST",twilightforest.biomes.TFBiomeOakSavanna
73,Snowy Forest,0.125,0.9,0.12,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",twilightforest.biomes.TFBiomeSnow
74,Twilight Stream,0.5,1.0,0.12,-0.5,0.0,RIVER,twilightforest.biomes.TFBiomeStream
75,Twilight Swamp,0.8,0.9,0.12,-0.125,0.125,"WET, SWAMP",twilightforest.biomes.TFBiomeSwamp
76,Thornlands,0.3,0.2,0.12,6.0,0.1,"DRY, DEAD, HILLS, WASTELAND",twilightforest.biomes.TFBiomeThornlands
77,Twilight Forest,0.5,0.5,0.12,0.1,0.2,FOREST,twilightforest.biomes.TFBiomeTwilightForest
78,Dense Twilight Forest,0.7,0.8,0.12,0.2,0.2,"DENSE, FOREST",twilightforest.biomes.TFBiomeTwilightForestVariant
80,Storage Cell,-100.0,0.5,0.1,0.1,0.2,"COLD, PLAINS",appeng.spatial.BiomeGenStorage
82,Mining Biome,0.8,0.0,0.1,0.0,0.0,MOUNTAIN,aroma1997.world.dimension.BiomeGenMining
84,Atum's Desert,2.0,0.0,0.1,0.1,0.2,"HOT, SPARSE, DRY, SAVANNA, PLAINS",com.teammetallurgy.atum.world.biome.BiomeGenAtumDesert
86,Desert Oil Field,2.0,0.0,0.1,0.1,0.2,SANDY,buildcraft.energy.worldgen.BiomeGenOilDesert
87,Ocean Oil Field,0.5,0.5,0.1,-1.0,0.1,"OCEAN, RIVER",buildcraft.energy.worldgen.BiomeGenOilOcean
100,Eucalyptus Forest,0.9,1.0,0.1,0.0,0.2,"HOT, SPARSE, DRY, JUNGLE, LUSH",biomesoplenty.common.biome.overworld.BiomeGenEucalyptusForest
101,Land of Lakes,0.5,0.9,0.1,0.1,0.3,"DENSE, WET, OCEAN, RIVER, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenLandOfLakes
102,Land of Lakes Marsh,0.5,0.9,0.1,-0.1,0.05,"SPARSE, WET, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenLandOfLakesMarsh
103,Seasonal Forest Clearing,0.7,0.8,0.1,0.1,0.2,PLAINS,biomesoplenty.common.biome.overworld.sub.BiomeGenSeasonalForestClearing
114,CaramelForest,0.5,0.5,0.1,0.0,0.3,PLAINS,com.valentin4311.candycraftmod.BiomeGenHellForest
115,IceCreamForest,0.5,0.5,0.1,0.1,0.3,PLAINS,com.valentin4311.candycraftmod.BiomeGenColdForest
116,SugarEnchantedForest,0.5,0.5,0.1,0.23,0.25,PLAINS,com.valentin4311.candycraftmod.BiomeGenCandyEnchantedWoods
117,SugarForest,0.5,0.5,0.1,0.1,0.15,PLAINS,com.valentin4311.candycraftmod.BiomeGenCandyForest
118,IceCreamPlains,0.5,0.5,0.1,0.05,0.1,PLAINS,com.valentin4311.candycraftmod.BiomeGenFrostPlain
119,IceCreamSkyMountains,0.5,0.5,0.1,1.9,2.0,MOUNTAIN,com.valentin4311.candycraftmod.BiomeGenHellMountains
120,Elysian Fields,0.85,0.5,0.1,0.1,0.2,PLAINS,erebus.world.biomes.BiomeElysianFields
121,Elysian Forest,0.85,0.5,0.1,0.1,0.2,PLAINS,erebus.world.biomes.BiomeElysianFields.BiomeElysianForest
122,Fungal Forest,0.9,0.95,0.1,0.1,0.2,"HOT, WET, PLAINS",erebus.world.biomes.BiomeFungalForest
123,Submerged Swamp,0.75,0.85,0.1,0.1,0.2,PLAINS,erebus.world.biomes.BiomeSubmergedSwamp
124,Subterranean Savannah,0.95,0.05,0.1,0.1,0.2,"HOT, DRY, PLAINS",erebus.world.biomes.BiomeSubterraneanSavannah
125,Ulterior Outback,1.1,0.2,0.1,0.1,0.2,"HOT, PLAINS, SANDY",erebus.world.biomes.BiomeUlteriorOutback
126,Undergound Jungle,1.35,0.9,0.2,0.1,0.2,"HOT, WET, PLAINS",erebus.world.biomes.BiomeUndergroundJungle
127,Volcanic Desert,1.9,0.2,0.1,0.1,0.2,"HOT, PLAINS, SANDY",erebus.world.biomes.BiomeVolcanicDesert
129,Sunflower Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,net.minecraft.world.biome.BiomeGenPlains
130,Desert M,2.0,0.0,0.1,0.225,0.25,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMutated
131,Extreme Hills M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
132,Flower Forest,0.7,0.8,0.1,0.1,0.4,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
133,Taiga M,0.25,0.8,0.1,0.3,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
134,Swampland M,0.8,0.9,0.1,-0.1,0.3,"WET, SWAMP",net.minecraft.world.biome.BiomeGenMutated
140,Ice Plains Spikes,0.0,0.5,0.1,0.425,0.45000002,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenSnow
149,Jungle M,0.95,0.9,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
151,JungleEdge M,0.95,0.8,0.1,0.2,0.4,"HOT, HILLS",net.minecraft.world.biome.BiomeGenMutated
155,Birch Forest M,0.6,0.6,0.1,0.2,0.4,HILLS,null
156,Birch Forest Hills M,0.6,0.6,0.1,0.55,0.5,HILLS,null
157,Roofed Forest M,0.7,0.8,0.1,0.2,0.4,HILLS,null
158,Cold Taiga M,-0.5,0.4,0.1,0.3,0.4,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenMutated
160,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
161,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
162,Extreme Hills+ M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
163,Savanna M,1.1,0.0,0.1,0.3625,1.225,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
164,Savanna Plateau M,1.0,0.0,0.1,1.05,1.2125001,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
165,Mesa (Bryce),2.0,0.0,0.1,0.1,0.2,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
166,Mesa Plateau F M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, FOREST, SANDY",net.minecraft.world.biome.BiomeGenMesa
167,Mesa Plateau M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
170,Alps,0.0,0.5,0.1,8.0,0.025,"COLD, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenAlps
171,Arctic,0.05,0.5,0.1,0.0,0.0,"COLD, DEAD, SNOWY, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenArctic
172,Bamboo Forest,1.2,0.9,0.1,0.1,0.3,"DENSE, JUNGLE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBambooForest
173,Bayou,0.5,0.9,0.1,-0.1,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBayou
174,Bog,0.8,0.9,0.1,0.1,0.2,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBog
175,Boreal Forest,0.6,0.7,0.1,0.2,0.4,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBorealForest
