ID,Unlocalised name,Type,Min Level,Max Level,Class
0,enchantment.protect.all,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
1,enchantment.protect.fire,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
2,enchantment.protect.fall,armor_feet,1,4,net.minecraft.enchantment.EnchantmentProtection
3,enchantment.protect.explosion,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
4,enchantment.protect.projectile,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
5,enchantment.oxygen,armor_head,1,3,net.minecraft.enchantment.EnchantmentOxygen
6,enchantment.waterWorker,armor_head,1,1,net.minecraft.enchantment.EnchantmentWaterWorker
7,enchantment.thorns,armor_torso,1,3,net.minecraft.enchantment.EnchantmentThorns
8,enchantment.molecule.water.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
9,enchantment.molecule.cyanide.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
10,enchantment.molecule.methamphetamine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
11,enchantment.molecule.psilocybin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
12,enchantment.molecule.asparticAcid.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
13,enchantment.molecule.alinine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
14,enchantment.molecule.glycine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
15,enchantment.molecule.serine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
16,enchantment.damage.all,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
17,enchantment.damage.undead,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
18,enchantment.damage.arthropods,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
19,enchantment.knockback,weapon,1,2,net.minecraft.enchantment.EnchantmentKnockback
20,enchantment.fire,weapon,1,2,net.minecraft.enchantment.EnchantmentFireAspect
21,enchantment.lootBonus,weapon,1,3,net.minecraft.enchantment.EnchantmentLootBonus
22,enchantment.molecule.mescaline.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
23,enchantment.molecule.ethanol.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
24,enchantment.molecule.amphetamine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
25,enchantment.molecule.theobromine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
26,enchantment.molecule.starch.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
27,enchantment.molecule.sucrose.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
28,enchantment.molecule.pantherine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
29,enchantment.molecule.valine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
30,enchantment.molecule.penicillin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
31,enchantment.molecule.testosterone.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
32,enchantment.digging,digger,1,5,net.minecraft.enchantment.EnchantmentDigging
33,enchantment.untouching,digger,1,1,net.minecraft.enchantment.EnchantmentUntouching
34,enchantment.durability,breakable,1,3,net.minecraft.enchantment.EnchantmentDurability
35,enchantment.lootBonusDigger,digger,1,3,net.minecraft.enchantment.EnchantmentLootBonus
36,enchantment.molecule.fingolimod.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
37,enchantment.molecule.arginine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
38,enchantment.molecule.sulfuricAcid.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
39,enchantment.molecule.asprin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
40,enchantment.molecule.mycotoxin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
41,enchantment.molecule.nodularin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
