Ore Name,ItemStack,Item ID,Display Name,Wildcard
ForciciumItem,1xitem.item.modingots@26,RotaryCraft:rotarycraft_item_modingots,Monazit Item,false
RotaryCraft:dustBedrock,1xitem.item.powder@4,RotaryCraft:rotarycraft_item_powders,Bedrock Dust,false
RotaryCraft:ingotBedrock,1xitem.item.compacts@3,RotaryCraft:rotarycraft_item_compacts,Bedrock Alloy Ingot,false
VenusCrystal,1xitem.null@4,SpaceVenus:null,Venus Crystal,false
VenusPowerCrystal,1xitem.null@11,SpaceVenus:null,Venus Power Crystal,false
alloyAdvanced,1xitem.EnrichedAlloy@0,Mekanism:EnrichedAlloy,Enriched Alloy,false
alloyBasic,1xitem.redstone@0,minecraft:redstone,Redstone,false
alloyElite,1xitem.ReinforcedAlloy@0,Mekanism:ReinforcedAlloy,Reinforced Alloy,false
alloyUltimate,1xitem.AtomicAlloy@0,Mekanism:AtomicAlloy,Atomic Alloy,false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
aquaRegia,1xitem.factorization:acid@1,factorization:acid,Aqua Regia,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
ashStone,1xtile.io_basic@5,SpaceIo:io_basic,Io Ash Stone,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Bottle,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
bamboo,1xitem.grc.bamboo@0,Growthcraft|Bamboo:grc.bamboo,Bamboo,false
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,Iron Bars,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Iron Bars,false
battery,1xitem.EnergyTablet@100,Mekanism:EnergyTablet,Energy Tablet,false
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,(wildcard),true
beeComb,1xitem.comb@32767,MagicBees:comb,(wildcard),true
beeComb,1xitem.fe.comb.draconic@0,ForestryExtras:item.fe.comb.draconic,Draconic Comb,false
beeComb,1xitem.fe.comb.legendary@0,ForestryExtras:item.fe.comb.legendary,Legendary Comb,false
beeComb,1xitem.fe.comb.reinforced@0,ForestryExtras:item.fe.comb.reinforced,Reinforced Comb,false
beeComb,1xitem.fe.comb.witheria@0,ForestryExtras:item.fe.comb.witheria,Witheria Comb,false
beeComb,1xitem.fe.comb.mutated@0,ForestryExtras:item.fe.comb.mutated,Mutated Comb,false
beeComb,1xitem.fe.comb.clayious@0,ForestryExtras:item.fe.comb.clayious,Clayious Comb,false
beeComb,1xitem.fe.comb.potato@0,ForestryExtras:item.fe.comb.potato,Potato Comb,false
beeComb,1xitem.fe.comb.carrot@0,ForestryExtras:item.fe.comb.carrot,Carrot Comb,false
beeComb,1xitem.fe.comb.pig@0,ForestryExtras:item.fe.comb.pig,Pig Comb,false
beeComb,1xitem.fe.comb.cow@0,ForestryExtras:item.fe.comb.cow,Cow Comb,false
beeComb,1xitem.fe.comb.sheep@0,ForestryExtras:item.fe.comb.sheep,Sheep Comb,false
beeComb,1xitem.fe.comb.thaumium@0,ForestryExtras:item.fe.comb.thaumium,Thaumium Comb,false
beeComb,1xitem.fe.comb.amber@0,ForestryExtras:item.fe.comb.amber,Amber Comb,false
beeComb,1xitem.fe.comb.void@0,ForestryExtras:item.fe.comb.void,Void Comb,false
beeComb,1xitem.fe.comb.normal@0,ForestryExtras:item.fe.comb.normal,Normal Comb,false
beeComb,1xitem.fe.comb.conductive iron@0,ForestryExtras:item.fe.comb.conductive iron,Conductive Iron Comb,false
