Class Name,Registered Name
Reika.ElectriCraft.TileEntities.TileEntityBattery,Electrimachine.electribattery
Reika.ElectriCraft.TileEntities.TileEntityEUSplitter,ElectriEU Splitter
Reika.ElectriCraft.TileEntities.TileEntityGenerator,ElectriInduction Generator
Reika.ElectriCraft.TileEntities.TileEntityMeter,ElectriElectric Meter
Reika.ElectriCraft.TileEntities.TileEntityMotor,ElectriInduction Motor
Reika.ElectriCraft.TileEntities.TileEntityRFBattery,ElectriRF Storage Battery
Reika.ElectriCraft.TileEntities.TileEntityRFCable,ElectriRF Transfer Cable
Reika.ElectriCraft.TileEntities.TileEntityRelay,ElectriRelay
Reika.ElectriCraft.TileEntities.TileEntityResistor,ElectriResistor
Reika.ElectriCraft.TileEntities.TileEntityTransformer,ElectriTransformer
Reika.ElectriCraft.TileEntities.TileEntityWire,Electrielectri.wire
Reika.ExpandedRedstone.TileEntities.TileEntity555,ExpRedstoneRedstone Clock
Reika.ExpandedRedstone.TileEntities.TileEntityAnalogReceiver,ExpRedstoneAnalog Wireless Receiver
Reika.ExpandedRedstone.TileEntities.TileEntityAnalogTransmitter,ExpRedstoneAnalog Wireless Transmitter
Reika.ExpandedRedstone.TileEntities.TileEntityArithmetic,ExpRedstoneArithmetic Operator
Reika.ExpandedRedstone.TileEntities.TileEntityBUD,ExpRedstoneBlock Update Detector
Reika.ExpandedRedstone.TileEntities.TileEntityBreaker,ExpRedstoneBlock Breaker
Reika.ExpandedRedstone.TileEntities.TileEntityCamo,ExpRedstoneCamouflage Block
Reika.ExpandedRedstone.TileEntities.TileEntityChestReader,ExpRedstoneChest Reader
Reika.ExpandedRedstone.TileEntities.TileEntityColumnDecrementer,ExpRedstoneColumn Decrementer
Reika.ExpandedRedstone.TileEntities.TileEntityCountdown,ExpRedstoneCountdown Timer
Reika.ExpandedRedstone.TileEntities.TileEntityDriver,ExpRedstoneSignal Driver
Reika.ExpandedRedstone.TileEntities.TileEntityEffector,ExpRedstoneItem Effector
